Species	family	RI	plant_dry_mass	mass_adjustment	W0	Source	Reference
Abies alba			33.8697017	1.305	6.63E-05	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Abies amabilis			543.709677	1.305	4.95E-05	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Abies balsamea			16.47586262	1.000	6.10E-06	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Abies firma			34.3431635	1.305	3.93E-05	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Abies sachalinensis			28.6641428	1.305	9.35E-06	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Abies veitchii			4.374358974	1.000	9.31E-06	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Acacia alata	Mimosaceae	0.000712676	0.58	1.000	8.10E-06	Moles2004	"Hansen, A. P., J. S. Pate, A. Hansen, and D. T. Bell. 1987. Nitrogen economy of post-fire stands of shrub legumes in jarrah eucalyptus-marginata donn ex sm. forest of southwest australia. Journal of Experimental Botany 38:26-41."
Acacia dealbata			27.94676806	1.000	1.20E-05	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Acacia extensa	Mimosaceae	0.004464951	0.88	1.000	1.22E-05	Moles2004	"Hansen, A. P., J. S. Pate, A. Hansen, and D. T. Bell. 1987. Nitrogen economy of post-fire stands of shrub legumes in jarrah eucalyptus-marginata donn ex sm. forest of southwest australia. Journal of Experimental Botany 38:26-41."
Acacia greggii	Fabaceae (Mim)		0.41736	1.305	0.0000315	Moles2004	"Marques, E. S. A., P. W. Price and N. S. Cobb 2000 Resource abundance and insect herbivore diversity on woody fabaceous desert plants. Environmental Entomology 29 4 696-703"
Acacia greggii	Fabaceae (Mim)		1.43484	1.305	0.0000315	Moles2004	"White, J. D. 2001 Size and biomass relationships for five common northern Chihuahuan desert plant species. Texas Journal of Science 53 4 385-389"
Acacia harpophylla			76.54639175	1.000	6.17E-05	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Acacia mollissima			32.85714286	1.000	0.0000111	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Acacia nilotica	Fabaceae (Mim)		184	1.305	0.0001333	Moles2004	"Witkowski, E. T. F. and R. D. Garner 2000 Spatial distribution of soil seed banks of three African savanna woody species at two contrasting sites. Plant Ecology 149 1 91-106"
Acacia pulchella	Mimosaceae	0.007328828	0.75	1.000	5.75E-06	Moles2004	"Hansen, A. P., J. S. Pate, A. Hansen, and D. T. Bell. 1987. Nitrogen economy of post-fire stands of shrub legumes in jarrah eucalyptus-marginata donn ex sm. forest of southwest australia. Journal of Experimental Botany 38:26-41."
Acacia pulchella	Fabaceae (Mim)	0.0255374	1.314984709	1.000	0.0000037	Moles2004	"Monk, D., Pate, J.S. & Loneragan, W.A. (1981) Biology of Acacia pulchella with special reference to symbiotic nitrogen fixation. Australian Journal of Botany 29, 579-592."
Acacia tortilis	Fabaceae (Mim)		146	1.305	0.00005806	Moles2004	"Witkowski, E. T. F. and R. D. Garner 2000 Spatial distribution of soil seed banks of three African savanna woody species at two contrasting sites. Plant Ecology 149 1 91-106"
Acer spicatum			5	1.305	2.02E-05	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Achillea millefolium	Asteraceae	0.00002527	0.00058	1.305	0.000000133	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Adenostoma fasciculatum	Rosaceae		5.432	1.305	0.0000015	Moles2004	"Moreno, J. M. and W. C. Oechel 1993 Demography of Adenostoma fasciculatum after fires of different intensities in southern California chaparral. Oecologia 96 1 95-101"
Aegylops geniculata	Poaceae		0.0018067	1.150	0.0000226	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Agave lecheguilla	Agavaceae		1.51557	1.150	0.0000055	Moles2004	"White, J. D. 2001 Size and biomass relationships for five common northern Chihuahuan desert plant species. Texas Journal of Science 53 4 385-389"
Agrimonia eupatoria	Rosaceae	0.00023826	0.0043	1.305	0.00000361	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Agrimonia eupatoria		0.004236924	0.00438	1.305	0.000037166	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Agrostis pourretii	Poaceae		0.0003578	1.305	0.00000002	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Ajuga pyramidalis	Lamiaceae	0.000144165	0.00024	1.305	0.000001373	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Alchemilla glaucescens	Rosaceae	0.000093991	0.00056	1.305	0.000000487	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Alliaria petiolata	Brassicaceae		0.00285	1.305	0.00000225	Moles2004	"Susko, D. J. and L. Lovett-Doust 2000 Plant-size and fruit-position effects on reproductive allocation in Alliaria petiolata (Brassicaceae). Canadian Journal of Botany 78 11 1398-1407"
Alliaria petiolata			0.0153	1.305	2.49E-06	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Allium ursinum	Liliaceae	2.37E-05	0.001762	1.150	0.00000635	Moles2004	"Eggert, A. 1992. Dry matter economy and reproduction of a temperate forest spring geophyte, Allium ursinum. Ecography 15:45-55."
Alnus rubra			94.09888357	1.000	1.05E-06	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Alopecurus pratensis	Poaceae	0.00029394	0.00181	1.305	0.00000071	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Ambrosia artemisiifolia	Asteraceae		0.000137	1.305	0.00000402	Moles2004	"Lundholm, J. T. and L. W. Aarssen (1994) Neighbour effects on gender variation in Ambrosia artemisiifolia. Canadian Journal of Botany 72: 794-800"
Ambrosia artemisiifolia	Asteraceae		0.00128	1.305	0.00000402	Moles2004	"Traveset, A. (1992) Sex expression in a natural population of the monoecious annual Ambrosia artemisiifolia Asteraceae. American Midland Naturalist 127: 309-315"
Ambrosia dumosa	Asteraceae		0.1087	1.150	2.99E-06	Moles2004	"El-Ghonemy, A.A., Wallace, A. & Romney, E.M. (1980) Frequency distribution of numbers of perennial shrubs in the northern Mojave Desert Nevada USA. Great Basin Naturalist Memoirs 4, 34-38."
Ambrosia trifida	Asteraceae		0.0012	1.150	0.000006733	Moles2004	"Jurik, T. W. 1991 Population distributions of plant size and light environment of giant ragweed (Ambrosia trifida L.) at three densities. Oecologia 87 4 539-550"
Anemone nemorosa	Ranunculaceae	0.00007	0.00013	1.305	0.000005	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Antennaria dioica	Asteraceae	0.00001316	0.000194	1.305	0.000000047	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Anthoxanthum odoratum	Poaceae	0.000089072	0.00135	1.305	0.000000293	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Anthriscus sylvestris	Apiaceae	0.001432992	0.00436	1.305	0.000002832	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Anthyllis cytisoides	Fabaceae		1.56	1.305	0.00000191	Moles2004	"Domingo, F., G. Sanchez, M. J. Moro, A. J. Brenner and J. Puigdefabregas 1998 Measurement and modelling of rainfall interception by three semi-arid canopies. Agricultural & Forest Meteorology 91 3-4 275-292"
Anthyllis vulneraria	Fabaceae	0.00064214	0.0012	1.305	0.00000331	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Arabidopsis thaliana	Brassicaceae	0.000159908	0.000179	1.305	0.000000028	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Arabis hirsuta	Brassicaceae	0.00007125	0.0005	1.305	0.000000095	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Arcticum minus	Asteraceae		0.290050809	1.305	0.00000748	Moles2004	"Aarssen, L. W. and C. Y. Jordan 2001 Between-species patterns of covariation in plant size, seed size and fecundity in monocarpic herbs. Ecoscience 8 4 471-477"
Arenaria serpyllifolia	Caryophyllaceae	0.000021638	0.00059	1.305	0.000000062	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Aristida purpurea	Poaceae		0.0031	1.305	0.00000111	Moles2004	"Coffin Debra, P., and L. Urban Dean. 1993. Implications of natural history traits to system-level dynamics: Comparisons of a grassland and a forest. Ecological Modelling 67:147-178."
Aristolochia rotunda		0.003371966	0.00282	1.305	0.000046898	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Arrhenatherum pratense	Poaceae	0.00039104	0.00969	1.305	0.00000208	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Arum italicum	Araceae		0.03324	1.000	0.000039	Moles2004	"Mendez, M. (1998) Modification of phenotypic and functional gender in the monoecious Arum italicum (Araceae). American Journal of Botany 85: 225-234"
Arum italicum	Araceae		0.05591	1.000	0.000039	Moles2004	"Mendez, M. and J. R. Obeso 1993 Size-dependent reproductive and vegetative allocation in Arum italicum (Araceae). Canadian Journal of Botany 71 2 309-314"
Aster acuminatus	Asteraceae		0.000637	1.150	0.00000044	Moles2004	"Pitelka, L. F., D. S. Stanton and M. O. Peckenham (1980) Effects of light and density on resource allocation in a forest herb Aster acuminatus, Compositae. American Journal of Botany 67: 942-948"
Aster acuminatus	Asteraceae		0.003436	1.150	0.00000044	Moles2004	"Pitelka, L. F., D. S. Stanton and M. O. Peckenham (1980) Effects of light and density on resource allocation in a forest herb Aster acuminatus, Compositae. American Journal of Botany 67: 942-948"
Astragalus nuttalianus	Fabaceae	0.0000065	0.00004	1.000	0.0000013	Moles2004	"Whitford, W.G. & Gutierrez, J.R. (1989) Effects of water and nitrogen supplementation on phenology plant size tissue nitrogen and seed yield of chihuahuan desert annual plants. Southwestern Naturalist 34, 546-549."
Athrixia asteroides	Asteraceae	0.00028707	0.00095	1.150	0.00000021	Moles2004	"Pate, J. S., N. E. Casson, J. Rullo, and J. Kuo. 1985. Biology of fire ephemerals of the sandplains of the kwongan of southwestern australia. Australian Journal of Plant Physiology 12:641-656."
Atriplex canescens	Amaranthaceae		8.88966	1.305	0.000012561	Moles2004	"Freeman, D. C., E. D. McArthur, S. Sanderson, C. and A. R. Tiedemann 1993 The influence of topography on male and female fitness components of Atriplex canescens. Oecologia 93 4 538-547"
Atriplex confertifolia	Amaranthaceae		0.0337	1.150	0.0000051	Moles2004	"El-Ghonemy, A.A., Wallace, A. & Romney, E.M. (1980) Frequency distribution of numbers of perennial shrubs in the northern Mojave Desert Nevada USA. Great Basin Naturalist Memoirs 4, 34-38."
Avena barbata	Poaceae		0.0028953	1.305	0.00000264	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Avena barbata		0.000305066	0.00254	1.305	0.000006436	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Bellis annua	Asteraceae		0.0000134	1.305	0.00000004	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Betula maximowicziana			335.555556	1.305	4.71E-07	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Bossiaea aquifolium	Fabaceae	0.004159169	0.65	1.000	1.12E-05	Moles2004	"Hansen, A. P., J. S. Pate, A. Hansen, and D. T. Bell. 1987. Nitrogen economy of post-fire stands of shrub legumes in jarrah eucalyptus-marginata donn ex sm. forest of southwest australia. Journal of Experimental Botany 38:26-41."
Bouteloua eriopoda	Poaceae	0.0000754	0.01074	1.305	0.00000026	Moles2004	"Peters Debra, P. C. 2002. Recruitment potential of two perennial grasses with different growth forms at a semiarid-arid transition zone. American Journal of Botany. [print] 89:1616-1623."
Bouteloua gracilis	Poaceae		0.0121	1.305	0.000000394	Moles2004	"Coffin Debra, P., and L. Urban Dean. 1993. Implications of natural history traits to system-level dynamics: Comparisons of a grassland and a forest. Ecological Modelling 67:147-178."
